Official Symbol Interactor A	Official Symbol Interactor B
GNB5	GNG7
ARL6	ARL6IP5
PIKFYVE	RABEPK
ARF3	GGA2
SORT1	GGA2
EXOSC6	EXOSC8
MKRN1	EXOSC8
EXOSC6	EXOSC7
ZNF496	NSD1
MPP6	ARHGAP18
MPP6	C15orf23
MPP6	EXOSC10
MPP6	SNX9
MPP6	SKIV2L2
MPP6	AATF
PUM2	PUM2
PUM2	NANOS1
ARL6	ARL6IP4
ARL6	ARL6IP1
POLR1C	POLR1D
DNAJA3	RNF34
SYNE1	SYNE1
ING4	RELA
COPG	COPZ1
COPG	COPZ2
LRRC7	CNKSR2
EXOC8	EXOC2
ACCN3	LIN7B
MOCS3	XRN2
MOCS3	EXOSC6
TCP10L	MXD4
RND1	UBXN11
EXOSC6	DNAJC30
DOM3Z	XRN2
UPF2	XRN2
EXOSC10	XRN2
ZHX1	ZHX3
MAPKAPK2	PHC2
CDC7	DBF4
ARPC5	ARPC4
CDC7	DBF4
ZHX1	ZHX1
MYPN	NEBL
NIF3L1	THOC7
GGA3	TSG101
PHACTR3	PPP1CA
ARL6	ATL2
ARL6	ARL6IP6
ARID1B	SMARCA4
PRPF6	TXNL4B
PPFIA1	ERC2
ERC2	PPFIA4
EVL	DNMBP
VPS37A	VPS28
PKD2L1	TNNI3
TNNI3K	TNNI3
ECT2	KLHL20
TAF13	TAF10
EXOSC6	EXOSC1
CDK14	SEPT8
TLK1	ASF1A
TLK1	ASF1B
ANKRD23	MYPN
GOLGA7	GOLGA3
CDHR2	MAST2
RNF5	FHOD1
STK19	POLE
STK19	POLR2G
STK19	SLC29A1
STK19	PRAME
RDBP	COBRA1
RDBP	NCOR1
RDBP	C19orf29
LSM2	NAA38
LSM2	LSM3
LSM2	LSM7
CLIC1	LSM1
BAT5	IFITM1
BAT5	RNF5
BAT5	HM13
BAT5	TMEM147
BAT5	TMEM222
BAT5	DNAJC1
BAT5	GPRC5C
BAT5	SPAG7
BAT5	SAFB
BAT5	ATP5G3
CSNK2B	CSNK2A2
CSNK2B	LYN
CSNK2B	CSNK2B
CSNK2B	RPL5
CSNK2B	MBD4
C6orf47	FGFR3
BAT2	EIF3E
BAT2	IMMT
BAT2	IFT88
BAT2	UBAP2L
BAT2	C1QBP
ATP6V1G2	ATP6V1E1
BAT2	HNRNPA1
BAT2	HNRNPM
GORASP2	TSC22D4
KIAA0408	Cep72
TRIM39	TRIM39
TRAF2	CDCA3
FCHSD2	CCDC158
RHOXF2	LENG8
MAGEA11	C20orf72
KRT15	MCM10
CALCOCO2	TP53RK
BNIP3L	DOK5
CCDC85B	FAM27E3
MCM10	Cep70
KRT81	C19orf50
ACTB	CFL1
CCDC85B	ZNF250
LMO2	MAPRE2
EWSR1	PRTFDC1
TRIM29	EFCAB4B
CLUAP1	CINP
DVL3	CCNK
MAGEH1	MOAP1
MAGEA11	LNX1
QPRT	KRTAP4-12
DCTD	LNX1
VIM	ALS2CR11
TRAF2	FAM120B
PHLDA1	KRTAP4-12
KLHDC5	USHBP1
TRAF2	ZBTB25
MEAF6	L3MBTL2
TRIP10	WBP11
ZNF434	ZNF434
RBM10	PTBP2
RWDD2B	GADD45G
SULT1E1	ENOX1
POM121	COL4A3BP
PLSCR1	CPSF6
ZBED1	SPEF1
LGALS8	CALCOCO2
DAZAP2	DCUN1D1
TRIM23	RIBC2
CALCOCO2	FBF1
CBS	VTA1
STK24	PDCD10
TRIP13	C11orf54
CEBPG	MLLT6
HGS	EXOC7
ZNF446	ZSCAN16
CCDC85B	KIAA1267
C19orf50	MAP1LC3B
EWSR1	ZDHHC3
ATF4	GPS2
SAT1	RBM17
TRAF2	FBXO28
MYL6	NUDT21
RIBC2	GTPBP3
MDFI	DDX19A
PRKCI	PARD6A
EWSR1	MSC
RBPMS	STRBP
NEK6	CCDC85B
YWHAG	KIAA0408
RBPMS	DTX2
TRIP13	GPRIN2
DTNB	C1orf182
GRAP2	ZBTB7B
RBPMS	TOLLIP
RNF7	ITM2C
OTX1	KRTAP4-12
FXR2	RTN3
PCBD1	NUDT18
TLK1	TLK1
EWSR1	SLC22A24
GYG1	GYS1
GSTM3	GSTM3
PHKB	C20orf27
QPRT	SUFU
MVK	MVK
HMG20A	TESC
EXOC7	ZC3H14
NME5	DYDC1
DCAF8	GTPBP3
ARHGEF15	MOBKL3
ANXA11	PLSCR1
AP1M1	TIFA
ZBTB43	ZNF417
LDOC1	LNX1
CLDN7	RHOXF2
BAD	SFN
CALCOCO2	FAM164C
HNRNPK	RBM41
VIM	MYST2
VIM	TCHP
HOXA1	MDFI
CALCOCO2	C1orf65
RIBC2	USHBP1
PLSCR1	RASD1
RAD54B	CCDC33
KRT15	SMARCD1
CCDC85B	PBXIP1
USHBP1	DYDC1
DVL2	PCBD1
CCDC85B	ZNF821
CTPS2	CTPS2
MDFI	AASDHPPT
CCDC85B	NIF3L1
BIRC2	MAGEA11
CCNK	TSC22D4
GADD45A	DCTN2
ZNF434	ZNF446
KRT6B	KRT15
CPSF6	GIN1
POM121	AGR2
PRR13	KLHL12
PHF10	L3MBTL2
MDFI	KIAA0415
VSNL1	DTX2
PHPT1	DNMT3L
MAGEA1	SMCR7L
NOL3	NOL3
MDFI	FZD9
TRIM23	TRIM23
CUTC	LNX1
PCBD1	PCBD1
HNRNPK	CNNM3
ZMYND19	LRRC68
RBPMS	LZTS2
NUP62	NUP54
FBXW5	KRTAP4-12
PHC2	FHL3
MLX	GABARAPL2
PRC1	USHBP1
PRTFDC1	NIF3L1
NME1	WDYHV1
PBX3	AGTRAP
PIAS2	NAV2
C19orf57	C19orf25
KLHL12	KLHL12
SEPT2	DAZAP2
KIAA0408	SORBS3
APPL1	APPL2
CCNK	CCDC85B
DVL2	USP5
CRY1	PLSCR1
HOXB6	SAT1
WDYHV1	DCTPP1
RBM11	RHOXF2
FOXS1	RBPMS
THAP7	C1orf190
SLC25A6	PLSCR1
EYA2	DMRTB1
NFIC	LLPH
ZNF250	DPPA2
CCNH	SSSCA1
KRT15	PCM1
PLDN	CCDC53
MAPK1IP1L	MAPK1IP1L
C12orf11	ZNF655
STX8	VTI1B
GPSM1	CCDC158
FXR2	KCTD4
HK2	UBQLN1
ACTB	CFL2
DAZAP2	DAZAP2
CCDC85B	ZNF337
MAGEA11	DNAJC10
PLSCR1	PGLS
THAP1	RALYL
FXR2	RBPMS
PLSCR1	DTX2
TOP3B	CHIC2
CTBP2	BAZ2B
MAGEA11	MXD3
UBE2I	MAPK1IP1L
PLOD3	CCDC85B
PDCD6	HEBP2
TRIM37	FAM124B
PSME2	PSME2
DAZAP2	C1orf94
PIN1	TRAF2
CCDC85B	ALS2CR11
FAM127B	UBQLN1
MAGEA11	PSMF1
CYTH3	CNKSR1
ZNF165	TCEB3B
CALCOCO2	LNX1
NINL	SPERT
RASSF8	FRMD6
CCDC85B	NGFRAP1
FHIT	FHIT
CCNK	NECAB2
LDOC1	FAM193B
DVL2	POLI
PDLIM7	PSMF1
DAZAP2	FAM46C
EWSR1	MYO1F
MYST2	Cep70
BSCL2	TMEM19
TRIM37	MAGEB18
EWSR1	C19orf50
EPS8	PLDN
TTC35	COX4NB
AP1M1	FXR2
