From	To
EFNA1	EPHA5
EFNA1	EPHA7
EFNA1	EPHA8
EFNA2	EPHA1
EFNA2	EPHA2
EFNA2	EPHA3
EFNA2	EPHA4
EFNA2	EPHA5
EFNA2	EPHA7
EFNA2	EPHA8
EFNA3	EPHA1
EFNA3	EPHA2
EFNA3	EPHA3
EFNA3	EPHA4
EFNA3	EPHA5
EFNA3	EPHA7
EFNA3	EPHA8
EFNA4	EPHA1
EFNA4	EPHA2
EFNA4	EPHA3
EFNA4	EPHA4
EFNA4	EPHA5
EFNA4	EPHA7
EFNA4	EPHA8
EFNA5	EPHA1
EFNA5	EPHA2
EFNA5	EPHA3
EFNA5	EPHA4
EFNA5	EPHA5
EFNA5	EPHA7
EFNA5	EPHA8
EFNB1	EPHB1
EFNB1	EPHB2
EFNB1	EPHB3
EFNB1	EPHB4
EFNB1	EPHB6
EFNB1	EPHA4
EFNB2	EPHB1
EFNB2	EPHB2
EFNB2	EPHB3
EFNB2	EPHB4
EFNB2	EPHB6
EFNB2	EPHA4
EFNB3	EPHB1
EFNB3	EPHB2
EFNB3	EPHB3
EFNB3	EPHB4
EFNB3	EPHB6
EFNB3	EPHA4
TNF	LTBR
TNFSF7	TNFRSF7
TNFSF5	TNFRSF5
TNFSF6	TNFRSF6
TNFSF6	TNFRSF6B
TNFSF12	TNFRSF12
-	IL2RA
-	IL2RB
-	IL2RG
IL13	IL13RA2
IL13	IL2RG
IL17	IL17R
IL16	CD4
IL1RN	IL1R1
IL1RN	IL1R2
IGF1	IGF1R
IGF2	IGF2R
INS	INSR
MST1	MST1R
FGF1	FGFR1
FGF1	FGFR2
FGF1	FGFR3
FGF1	FGFR4
FGF2	FGFR1
FGF2	FGFR2
FGF2	FGFR3
FGF2	FGFR4
FGF3	FGFR1
FGF3	FGFR2
FGF4	FGFR1
FGF4	FGFR2
FGF4	FGFR3
FGF4	FGFR4
FGF5	FGFR1
FGF5	FGFR2
FGF5	FGFR3
FGF6	FGFR1
FGF6	FGFR2
FGF6	FGFR4
FGF7	FGFR2
FGF8	FGFR2
FGF8	FGFR3
FGF8	FGFR4
FGF9	FGFR1
FGF9	FGFR2
FGF9	FGFR3
FGF9	FGFR4
FGF10	FGFR1
FGF10	FGFR2
FGF10	FGFR3
FGF10	FGFR4
FGF11	FGFR1
FGF11	FGFR2
FGF11	FGFR3
FGF11	FGFR4
FGF12	FGFR1
FGF12	FGFR2
FGF12	FGFR3
FGF12	FGFR4
FGF12B	FGFR1
FGF12B	FGFR2
FGF12B	FGFR3
FGF12B	FGFR4
FGF14	FGFR1
FGF14	FGFR2
FGF14	FGFR3
FGF14	FGFR4
FGF16	FGFR1
FGF16	FGFR2
FGF16	FGFR3
FGF16	FGFR4
FGF17	FGFR1
FGF17	FGFR2
FGF17	FGFR3
FGF17	FGFR4
FGF18	FGFR1
FGF18	FGFR2
FGF18	FGFR3
FGF18	FGFR4
FGF19	FGFR1
FGF19	FGFR2
FGF19	FGFR3
FGF19	FGFR4
NGFB	NTRK1
NGFB	NGFR
BDNF	NTRK2
BDNF	NGFR
NTF3	NTRK1
NTF3	NTRK2
NTF3	NGFR
NTF5	NTRK1
NTF5	NTRK2
NTF5	NTRK3
NTF5	NGFR
THPO	MPL
ANGPT1	TEK
ANGPT2	TEK
ANGPTL1	TEK
VEGF	FLT1
VEGF	KDR
VEGF	NRP1
VEGF	NRP2
PGF	FLT1
PGF	NRP1
TGFA	EGFR
AREG	EGFR
BTC	EGFR
BTC	ERBB3
BTC	ERBB4
NRG1	ERBB4
NRG1	ERBB3
NRG1	ERBB2
DTR	EGFR
DTR	ERBB4
EREG	EGFR
EREG	ERBB4
SCGF	KIT
MDK	PTPRZ1
MDK	PTPRB
PTN	PTPRZ1
PTN	PTPRB
PTN	KIAA0468
TGFB1	TGFBR3
TGFB2	TGFBR3
TGFB3	TGFBR3
BMP2	ACVR2
BMP2	ACVR2B
BMP3	BMPR1A
