p_val	avg_log2FC	pct.1	pct.2	p_val_adj	gene	condition	Vertex_weight
5.21419971473957e-06	1.73299100694821	0.048	0.015	0.0715075348879385	RP11-936I5.1	control	1.73299100694821
5.86549492313178e-06	0.898682026343951	0.149	0.082	0.0804393973758293	LY9	control	0.898682026343951
5.93570384239438e-06	1.94166974729459	0.037	0.01	0.0814022424945965	RP11-44N11.2	control	1.94166974729459
6.16026201091255e-06	0.971760321787934	0.116	0.058	0.0844818332176547	DGKA	control	0.971760321787934
6.20408106358768e-06	0.536551707468151	0.294	0.199	0.0850827677060414	MGST3	control	0.536551707468151
6.27247107714618e-06	1.0640869863224	0.135	0.072	0.0860206683519827	STOM	control	1.0640869863224
6.287196269769e-06	0.466271927848057	0.265	0.174	0.0862226096436121	USMG5	control	0.466271927848057
6.48617976767614e-06	1.64869243210717	0.035	0.009	0.0889514693339106	ANO9	control	1.64869243210717
6.50515129325281e-06	2.41527662830953	0.201	0.124	0.089211644835669	STAT1	control	2.41527662830953
6.52429494816606e-06	1.40167943993637	0.068	0.027	0.0894741809191493	FUNDC1	control	1.40167943993637
6.99530442375966e-06	0.417878713227838	0.232	0.147	0.09593360486744	TMED4	control	0.417878713227838
7.36767344763762e-06	26.6376268482175	0.164	0.093	0.101040273660902	DNPH1	control	26.6376268482175
7.63578413367614e-06	26.5896386784982	0.083	0.036	0.104717143609235	KIAA1430	control	26.5896386784982
7.74058738052523e-06	0.793770127048523	0.126	0.066	0.106154415336523	RUVBL1	control	0.793770127048523
7.75020376068489e-06	0.908127560926219	0.122	0.063	0.106286294374033	PLK3	control	0.908127560926219
7.86980978207399e-06	1.10008575933946	0.093	0.043	0.107926571351363	METTL17	control	1.10008575933946
8.20141755382024e-06	1.53225706874413	0.06	0.022	0.112474240333091	CCDC65	control	1.53225706874413
8.24039692133688e-06	2.93713997735364	0.019	0.002	0.113008803379214	ST8SIA1	control	2.93713997735364
8.52076821111437e-06	1.78852593016319	0.041	0.012	0.116853815247222	ASNS	control	1.78852593016319
9.90475915491363e-06	1.05945140142704	0.099	0.048	0.135833867050486	AGA	control	1.05945140142704
9.95637102325585e-06	1.59610959852332	0.089	0.041	0.136541672212931	LINC00649	control	1.59610959852332
1.02270560604922e-05	5.20509957393138	0.317	0.222	0.140253846813589	EIF4B	control	5.20509957393138
1.02392702057167e-05	2.40734222434702	0.025	0.005	0.140421351601199	TMEM65	control	2.40734222434702
1.03762546876588e-05	1.77090812052881	0.178	0.107	0.142299956786553	CDKN1B	control	1.77090812052881
1.04020261368055e-05	1.9946440952979	0.484	0.381	0.14265338644015	COX7A2	control	1.9946440952979
1.05014340873636e-05	0.958566816284266	0.104	0.051	0.144016667074105	PCM1	control	0.958566816284266
1.083423226504e-05	0.788425597841562	0.112	0.057	0.148580661282758	EPM2AIP1	control	0.788425597841562
1.10328020446946e-05	1.39471151391087	0.075	0.032	0.151303847240942	LSR	control	1.39471151391087
