p_val	avg_log2FC	pct.1	pct.2	p_val_adj	gene	condition	Vertex_weight
0.172645332319087	-0.925265245543973	0.006	0.014	1	ZNF124	control	-0.925265245543973
0.172645332319087	-0.925265245543973	0.006	0.014	1	ATR	control	-0.925265245543973
0.172645332319087	-0.925265245543973	0.006	0.014	1	NOP14-AS1	control	-0.925265245543973
0.172645332319087	-0.925265245543973	0.006	0.014	1	TIPIN	control	-0.925265245543973
0.172649226950592	-0.757686002001448	0.029	0.043	1	RASA2	control	-0.757686002001448
0.172649229376158	-0.658158062102547	0.029	0.043	1	FAS	control	-0.658158062102547
0.172878759802794	0.662354956851066	0.027	0.018	1	EP300	control	0.662354956851066
0.172909226152262	-0.715239811772872	0.013	0.022	1	TSPYL4	control	-0.715239811772872
0.173075710777125	-0.619744364993276	0.029	0.043	1	FAM211A	control	-0.619744364993276
0.173132899547694	0.287142721849688	0.123	0.102	1	CD2BP2	control	0.287142721849688
0.17322055739001	-26.6118139880222	0.019	0.03	1	ARIH2OS	control	-26.6118139880222
0.173275479266231	-26.7691605319583	0.269	0.239	1	TUFM	control	-26.7691605319583
0.173278741129466	1.26324869305459	0.008	0.004	1	FKBP1C	control	1.26324869305459
0.173278741129466	1.26324869305459	0.008	0.004	1	MAPKBP1	control	1.26324869305459
0.173278741129466	1.26324869305459	0.008	0.004	1	IQCH-AS1	control	1.26324869305459
0.173278741129466	1.26324869305459	0.008	0.004	1	EVI5L	control	1.26324869305459
0.173278741129466	1.26324869305459	0.008	0.004	1	KCTD15	control	1.26324869305459
0.173278741129466	1.26324869305459	0.008	0.004	1	FKRP	control	1.26324869305459
0.173278741129466	1.26324869305459	0.008	0.004	1	C2CD2	control	1.26324869305459
0.173430225170145	-49.4584833035035	0.477	0.459	1	CD44	control	-49.4584833035035
0.173636805012431	0.866274803489525	0.008	0.004	1	RASL11A	control	0.866274803489525
0.173995458124489	0.472170710225673	0.027	0.018	1	GPATCH2	control	0.472170710225673
0.174103353546761	-0.233461887306356	0.006	0.014	1	CROT	control	-0.233461887306356
0.174121796697283	6.4616280716376	0.117	0.096	1	RPS6KB2	control	6.4616280716376
0.174199599207119	-0.521011585757328	0.029	0.043	1	TMEM192	control	-0.521011585757328
0.174287841674759	1.38377550320188	0.01	0.005	1	TMEM8B	control	1.38377550320188
0.174429764104312	0.658069151742421	0.019	0.011	1	SPINT1	control	0.658069151742421
0.174476845127727	0.433873635250592	0.033	0.023	1	BASP1	control	0.433873635250592
0.174588137758917	-1.31342653537009	0.16	0.137	1	PNKD	control	-1.31342653537009
0.174702992097105	-0.212035910095118	0.073	0.093	1	SCAMP3	control	-0.212035910095118
0.174758726372718	1.11555506269835	0.01	0.005	1	AC005076.5	control	1.11555506269835
0.174758726372718	1.11555506269835	0.01	0.005	1	DLG4	control	1.11555506269835
0.174758726372718	1.11555506269835	0.01	0.005	1	CTD-2538C1.2	control	1.11555506269835
0.174758726372718	1.11555506269835	0.01	0.005	1	RYR1	control	1.11555506269835
0.174758726372718	1.11555506269835	0.01	0.005	1	C19ORF54	control	1.11555506269835
0.174850668446027	-1.21174404746138	0.01	0.019	1	UGCG	control	-1.21174404746138
0.174850669788374	-1.01559659851437	0.01	0.019	1	THAP7-AS1	control	-1.01559659851437
0.175079223956387	-0.936154986973031	0.01	0.019	1	ATP9B	control	-0.936154986973031
0.175307941942504	-0.852082720809991	0.01	0.019	1	UBR3	control	-0.852082720809991
0.175307941942504	-0.852082720809991	0.01	0.019	1	CTD-3074O7.5	control	-0.852082720809991
0.175560070329071	-0.76280635983303	0.01	0.019	1	COG6	control	-0.76280635983303
0.175560070329071	-0.76280635983303	0.01	0.019	1	TMEM186	control	-0.76280635983303
0.175560070329071	-0.76280635983303	0.01	0.019	1	DYRK1A	control	-0.76280635983303
0.175656969349056	-26.3451152173392	0.121	0.1	1	USF2	control	-26.3451152173392
0.175730838483425	-0.931908219724402	0.008	0.017	1	EHBP1	control	-0.931908219724402
